k,epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
8,0.1,10000,59,9,10.59322033898305,34383211690.12736,111783.9701235277
8,0.1,10000,58,9,10.775862068965518,35533690199.497955,115671.8192627824
8,0.1,10000,57,9,10.964912280701755,36744446835.60754,119766.08187134503
8,0.1,10000,56,9,11.160714285714286,38019796462.58503,124081.63265306121
8,0.1,10000,55,9,11.363636363636363,39364448146.92378,128634.71074380165
8,0.1,10000,54,9,11.574074074074074,40783549239.445206,133443.07270233196
8,0.1,10000,53,10,11.79245283018868,38054461789.96084,138526.16589533642
8,0.1,10000,52,10,12.01923076923077,39481368236.68639,143905.325443787
8,0.1,10000,51,10,12.254901960784315,40992024704.34448,149603.99846212997
8,0.1,10000,50,10,12.5,42593157120.0,155648.0
8,0.1,10000,49,10,12.755102040816327,44292182150.7705,162065.8059142024
8,0.1,10000,48,10,13.020833333333334,46097294222.22222,168888.88888888888
8,0.1,10000,47,10,13.297872340425531,48017565609.778175,176152.10502489813
8,0.1,10000,46,10,13.58695652173913,50063061897.920616,183894.13988657846
8,0.1,10000,45,10,13.88888888888889,52244975565.432106,192158.02469135803
8,0.1,10000,44,10,14.204545454545455,54575781024.79338,200991.73553719008
8,0.1,10000,43,10,14.534883720930232,57069415147.64738,210448.8912925906
8,0.1,10000,42,10,14.880952380952381,59741488181.40589,220589.56916099772
8,0.1,10000,41,10,15.24390243902439,62609531050.56515,231481.26115407498
8,0.1,10000,40,10,15.625,65693286400.0,243200.00000000003
8,0.1,10000,39,11,16.025641025641026,62740956777.23985,255831.6896778435
8,0.1,10000,38,11,16.44736842105263,66000082679.42584,269473.6842105263
8,0.1,10000,37,11,16.89189189189189,69524648298.02777,284236.669101534
8,0.1,10000,36,11,17.36111111111111,73344419483.72615,300246.9135802469
8,0.1,10000,35,11,17.857142857142858,77493462679.03525,317648.97959183675
8,0.1,10000,34,11,18.38235294117647,82010913419.31424,336608.9965397924
8,0.1,10000,33,11,18.939393939393938,86941910049.25287,357318.6409550046
8,0.1,10000,32,11,19.53125,92338734545.45456,380000.0
8,0.1,10000,31,11,20.161290322580644,98262214677.89232,404911.5504682622
8,0.1,10000,30,11,20.833333333333332,104783458262.62627,432355.5555555555
8,0.1,10000,29,11,21.551724137931036,111986012565.1281,462687.2770511296
8,0.1,10000,28,11,22.321428571428573,119968572319.10945,496326.53061224485
8,0.1,10000,27,12,23.14814814814815,118111034878.82944,533772.2908093279
8,0.1,10000,26,12,24.03846153846154,127201885917.15979,575621.301775148
8,0.1,10000,25,12,25.0,137398408533.33334,622592.0
8,0.1,10000,24,12,26.041666666666668,148888082962.96295,675555.5555555555
8,0.1,10000,23,12,27.17391304347826,161899936181.4745,735576.5595463138
8,0.1,10000,22,12,28.40909090909091,176716108870.52344,803966.9421487603
8,0.1,10000,21,12,29.761904761904763,193687363144.36887,882358.2766439909
8,0.1,10000,20,12,31.25,213254144000.0,972800.0000000001
8,0.1,10000,19,12,32.89473684210526,235975590175.4386,1077894.7368421052
8,0.1,10000,18,12,34.72222222222222,262570118847.73663,1200987.6543209876
8,0.1,10000,17,13,36.76470588235294,271359858269.8962,1346435.9861591696
8,0.1,10000,16,13,39.0625,305927089230.7693,1520000.0
8,0.1,10000,15,13,41.666666666666664,347607425094.017,1729422.222222222
8,0.1,10000,14,13,44.642857142857146,398500032904.2385,1985306.1224489794
8,0.1,10000,13,13,48.07692307692308,461540486700.0456,2302485.207100592
8,0.1,10000,12,13,52.083333333333336,540935264273.50433,2702222.222222222
8,0.1,10000,11,13,56.81818181818182,642884412053.4012,3215867.7685950412
8,0.1,10000,10,13,62.5,776833496615.3846,3891200.0000000005
8,0.1,10000,9,13,69.44444444444444,957749203266.8566,4803950.617283951
8,0.1,10000,8,14,78.125,1124036022857.143,6080000.0
8,0.1,10000,7,14,89.28571428571429,1466126300174.9272,7941224.489795918
8,0.1,10000,6,14,104.16666666666667,1992835332063.4922,10808888.888888888
8,0.1,10000,5,14,125.0,2865758208000.0005,15564800.000000002
8,0.1,10000,4,14,156.25,4471614902857.144,24320000.0
8,0.1,10000,3,14,208.33333333333334,7938635743492.064,43235555.55555555
8,0.1,10000,2,14,312.5,17837401234285.715,97280000.0
8,0.1,10000,1,14,625.0,71251488182857.16,389120000.0
