step,rows_1,rows_5,rows_10,rows_25
0,0,0,0,0
100,0,0,0,0
200,0,0,0,0
300,0,0,0,0
400,1,0,0,0
500,1,0,0,1
600,1,0,0,1
700,1,2,2,2
800,1,2,2,3
900,1,2,2,4
1000,1,2,2,5
1100,2,2,2,5
1200,3,3,3,5
1300,3,5,5,6
1400,3,5,5,7
1500,4,6,6,9
1600,5,7,7,9
1700,6,8,8,10
1800,6,8,8,10
1900,6,10,10,10
2000,7,10,10,11
2100,8,10,10,11
2200,10,12,12,11
2300,10,13,13,13
2400,14,14,14,14
2500,14,15,15,15
2600,14,15,15,14
2700,14,15,15,14
2800,14,15,15,14
2900,15,15,15,14
3000,14,15,15,14
3100,14,15,15,14
3200,15,15,15,14
3300,14,15,15,15
3400,15,15,15,14
3500,15,15,15,14
3600,15,15,15,15
3700,14,15,15,14
3800,14,15,15,14
3900,14,15,15,14
4000,14,15,15,14
4100,14,16,16,15
4200,14,15,15,14
4300,14,15,15,14
4400,14,15,15,15
4500,15,15,15,15
4600,14,15,15,14
4700,14,15,15,14
4800,14,15,15,14
4900,15,15,15,14
5000,15,15,15,14
5100,14,15,15,14
5200,15,15,15,15
5300,14,15,15,16
5400,14,15,15,14
5500,14,15,15,14
5600,14,15,15,15
5700,14,15,15,16
5800,14,15,15,14
5900,15,15,15,14
6000,14,15,15,14
6100,14,15,15,14
6200,14,15,15,14
6300,14,15,15,15
6400,14,15,15,14
6500,14,15,15,14
6600,14,15,15,14
6700,14,15,15,14
6800,14,15,15,15
6900,14,15,15,14
7000,14,15,15,14
7100,14,15,15,14
7200,14,16,16,14
7300,15,15,15,14
7400,14,15,15,14
7500,15,15,15,14
7600,14,15,15,14
7700,14,15,15,14
7800,14,15,15,14
7900,14,15,15,16
8000,14,15,15,14
8100,14,15,15,14
8200,14,15,15,14
8300,14,15,15,14
8400,14,15,15,14
8500,14,15,15,14
8600,14,15,15,15
8700,14,15,15,14
8800,14,15,15,15
8900,14,15,15,15
9000,14,15,15,14
9100,14,15,15,14
9200,15,15,15,14
9300,14,15,15,14
9400,14,15,15,14
9500,14,15,15,14
9600,15,15,15,14
9700,14,15,15,15
9800,14,16,16,14
9900,15,15,15,14
10000,14,15,15,14
10100,15,15,15,14
10200,14,15,15,14
10300,14,15,15,15
10400,14,15,15,15
10500,15,15,15,14
10600,14,15,15,14
10700,14,15,15,14
10800,15,15,15,14
10900,14,15,15,15
11000,14,15,15,14
11100,14,15,15,14
11200,15,15,15,15
11300,14,15,15,14
11400,14,15,15,14
