epsilon,M,k2,k1,replication_factor,probagation_complexity,historical_synchronization_complexity
0.1,5000,72,4,34.72222222222222,85189720493.82716,258765.43209876542
0.1,5000,71,4,35.2112676056338,87572268740.3293,266105.9313628248
0.1,5000,70,4,35.714285714285715,90057163755.10205,273763.2653061225
0.1,5000,69,4,36.231884057971016,92650367166.56166,281755.9336273892
0.1,5000,68,4,36.76470588235294,95358281522.49135,290103.8062283737
0.1,5000,67,4,37.3134328358209,98187790028.95969,298828.2468255736
0.1,5000,66,4,37.878787878787875,101146300532.5987,307952.24977043155
0.1,5000,65,4,38.46153846153846,104241794272.18935,317500.5917159763
0.1,5000,64,4,39.0625,107482880000.0,327500.0
0.1,5000,63,4,39.682539682539684,110878854159.73798,337979.33988410176
0.1,5000,62,4,40.32258064516129,114439767908.4287,348969.8231009365
0.1,5000,61,4,40.98360655737705,118176501886.58963,360505.24052674015
0.1,5000,60,4,41.666666666666664,122100849777.77774,372622.2222222222
0.1,5000,59,4,42.3728813559322,126225611858.66129,385360.52858374023
0.1,5000,58,4,43.10344827586207,130564699928.65637,398763.3769322236
0.1,5000,57,4,43.85964912280702,135133255229.30133,412877.80855647894
0.1,5000,56,4,44.642857142857146,139947781224.48978,427755.1020408163
0.1,5000,55,5,45.45454545454545,116021034737.19008,443451.23966942145
0.1,5000,54,5,46.2962962962963,120310791023.31961,460027.4348422496
0.1,5000,53,5,47.16981132075472,124844750148.80742,477550.72979708086
0.1,5000,52,5,48.07692307692308,129641841609.46745,496094.674556213
0.1,5000,51,5,49.01960784313726,134722866688.19684,515740.09996155323
0.1,5000,50,5,50.0,140110725120.0,536576.0
0.1,5000,49,5,51.02040816326531,145830674445.6476,558700.5414410662
0.1,5000,48,5,52.083333333333336,151910627555.55554,582222.2222222222
0.1,5000,47,5,53.191489361702125,158381494989.58804,607261.2041647804
0.1,5000,46,5,54.34782608695652,165277579856.3327,633950.8506616256
0.1,5000,45,5,55.55555555555556,172637034824.69138,662439.5061728396
0.1,5000,44,5,56.81818181818182,180502392595.04135,692892.5619834712
0.1,5000,43,5,58.13953488372093,188921183671.17358,725494.862087615
0.1,5000,42,5,59.523809523809526,197946658249.43314,760453.514739229
0.1,5000,41,5,60.97560975609756,207638632775.72876,798001.1897679953
0.1,5000,40,5,62.5,218064486400.00003,838400.0000000001
0.1,5000,39,5,64.1025641025641,229300338451.01907,881946.0880999343
0.1,5000,38,5,65.78947368421052,241432445518.0055,928975.0692520775
0.1,5000,37,5,67.56756756756756,254558866232.28638,979868.5171658145
0.1,5000,36,5,69.44444444444444,268791454024.6914,1035061.7283950617
0.1,5000,35,5,71.42857142857143,284258253844.898,1095053.06122449
0.1,5000,34,5,73.52941176470588,301106399224.91345,1160415.224913495
0.1,5000,33,5,75.75757575757575,319505632734.6189,1231808.9990817262
0.1,5000,32,5,78.125,339652608000.0,1310000.0
0.1,5000,31,5,80.64516129032258,361776178081.1654,1395879.292403746
0.1,5000,30,5,83.33333333333333,386143937422.22217,1490488.8888888888
0.1,5000,29,6,86.20689655172414,344225307395.9573,1595053.5077288945
0.1,5000,28,6,89.28571428571429,369105885170.068,1711020.408163265
0.1,5000,27,6,92.5925925925926,396796357238.2258,1840109.7393689984
0.1,5000,26,6,96.15384615384616,427736797159.76337,1984378.698224852
0.1,5000,25,6,100.0,462456968533.3334,2146304.0
0.1,5000,24,6,104.16666666666667,501599194074.0741,2328888.888888889
0.1,5000,23,6,108.69565217391305,545948329376.1814,2535803.4026465025
0.1,5000,22,6,113.63636363636364,596471480771.35,2771570.2479338846
0.1,5000,21,6,119.04761904761905,654371263371.1263,3041814.058956916
0.1,5000,20,6,125.0,721158144000.0,3353600.0000000005
0.1,5000,19,6,131.57894736842104,798750105410.8955,3715900.27700831
0.1,5000,18,6,138.88888888888889,889612094156.3787,4140246.9135802467
0.1,5000,17,6,147.05882352941177,996954494671.2803,4641660.89965398
0.1,5000,16,6,156.25,1125021013333.3335,5240000.0
0.1,5000,15,6,166.66666666666666,1279515154962.9626,5961955.555555555
0.1,5000,14,6,178.57142857142858,1468247144489.796,6844081.63265306
0.1,5000,13,6,192.30769230769232,1702141838895.4636,7937514.792899408
0.1,5000,12,6,208.33333333333334,1996857647407.4072,9315555.555555556
0.1,5000,11,6,227.27272727272728,2375479600661.1577,11086280.991735538
0.1,5000,10,7,250.0,2462730532571.429,13414400.000000002
0.1,5000,9,7,277.77777777777777,3039196746948.8535,16560987.654320987
0.1,5000,8,7,312.5,3844950308571.429,20960000.0
0.1,5000,7,7,357.14285714285717,5019973530495.627,27376326.53061224
0.1,5000,6,7,416.6666666666667,6830016284444.445,37262222.222222224
0.1,5000,5,7,500.0,9831298779428.572,53657600.00000001
0.1,5000,4,7,625.0,15355272045714.287,83840000.0
0.1,5000,3,7,833.3333333333334,27287359553015.87,149048888.8888889
0.1,5000,2,7,1250.0,61372029805714.3,335360000.0
0.1,5000,1,7,2500.0,245390002468571.47,1341440000.0
