epsilon,N,k2,k1
0.1,5000,141,6
0.1,5000,140,6
0.1,5000,139,6
0.1,5000,138,6
0.1,5000,137,6
0.1,5000,136,6
0.1,5000,135,6
0.1,5000,134,6
0.1,5000,133,6
0.1,5000,132,6
0.1,5000,131,6
0.1,5000,130,6
0.1,5000,129,6
0.1,5000,128,6
0.1,5000,127,6
0.1,5000,126,6
0.1,5000,125,6
0.1,5000,124,6
0.1,5000,123,6
0.1,5000,122,6
0.1,5000,121,6
0.1,5000,120,7
0.1,5000,119,7
0.1,5000,118,7
0.1,5000,117,7
0.1,5000,116,7
0.1,5000,115,7
0.1,5000,114,7
0.1,5000,113,7
0.1,5000,112,7
0.1,5000,111,7
0.1,5000,110,7
0.1,5000,109,7
0.1,5000,108,7
0.1,5000,107,7
0.1,5000,106,7
0.1,5000,105,7
0.1,5000,104,7
0.1,5000,103,7
0.1,5000,102,7
0.1,5000,101,7
0.1,5000,100,7
0.1,5000,99,7
0.1,5000,98,7
0.1,5000,97,7
0.1,5000,96,7
0.1,5000,95,7
0.1,5000,94,7
0.1,5000,93,7
0.1,5000,92,8
0.1,5000,91,8
0.1,5000,90,8
0.1,5000,89,8
0.1,5000,88,8
0.1,5000,87,8
0.1,5000,86,8
0.1,5000,85,8
0.1,5000,84,8
0.1,5000,83,8
0.1,5000,82,8
0.1,5000,81,8
0.1,5000,80,8
0.1,5000,79,8
0.1,5000,78,8
0.1,5000,77,8
0.1,5000,76,8
0.1,5000,75,8
0.1,5000,74,8
0.1,5000,73,8
0.1,5000,72,8
0.1,5000,71,8
0.1,5000,70,9
0.1,5000,69,9
0.1,5000,68,9
0.1,5000,67,9
0.1,5000,66,9
0.1,5000,65,9
0.1,5000,64,9
0.1,5000,63,9
0.1,5000,62,9
0.1,5000,61,9
0.1,5000,60,9
0.1,5000,59,9
0.1,5000,58,9
0.1,5000,57,9
0.1,5000,56,9
0.1,5000,55,9
0.1,5000,54,9
0.1,5000,53,10
0.1,5000,52,10
0.1,5000,51,10
0.1,5000,50,10
0.1,5000,49,10
0.1,5000,48,10
0.1,5000,47,10
0.1,5000,46,10
0.1,5000,45,10
0.1,5000,44,10
0.1,5000,43,10
0.1,5000,42,10
0.1,5000,41,10
0.1,5000,40,10
0.1,5000,39,11
0.1,5000,38,11
0.1,5000,37,11
0.1,5000,36,11
0.1,5000,35,11
0.1,5000,34,11
0.1,5000,33,11
0.1,5000,32,11
0.1,5000,31,11
0.1,5000,30,11
0.1,5000,29,11
0.1,5000,28,11
0.1,5000,27,12
0.1,5000,26,12
0.1,5000,25,12
0.1,5000,24,12
0.1,5000,23,12
0.1,5000,22,12
0.1,5000,21,12
0.1,5000,20,12
0.1,5000,19,12
0.1,5000,18,12
0.1,5000,17,13
0.1,5000,16,13
0.1,5000,15,13
0.1,5000,14,13
0.1,5000,13,13
0.1,5000,12,13
0.1,5000,11,13
0.1,5000,10,13
0.1,5000,9,13
0.1,5000,8,14
0.1,5000,7,14
0.1,5000,6,14
0.1,5000,5,14
0.1,5000,4,14
0.1,5000,3,14
0.1,5000,2,14
0.1,5000,1,14
