k,epsilon,N,k2,k1
16,0.05,10000,100,9
16,0.05,10000,99,9
16,0.05,10000,98,9
16,0.05,10000,97,9
16,0.05,10000,96,9
16,0.05,10000,95,9
16,0.05,10000,94,9
16,0.05,10000,93,9
16,0.05,10000,92,9
16,0.05,10000,91,9
16,0.05,10000,90,9
16,0.05,10000,89,9
16,0.05,10000,88,9
16,0.05,10000,87,10
16,0.05,10000,86,10
16,0.05,10000,85,10
16,0.05,10000,84,10
16,0.05,10000,83,10
16,0.05,10000,82,10
16,0.05,10000,81,10
16,0.05,10000,80,10
16,0.05,10000,79,10
16,0.05,10000,78,10
16,0.05,10000,77,10
16,0.05,10000,76,10
16,0.05,10000,75,10
16,0.05,10000,74,10
16,0.05,10000,73,10
16,0.05,10000,72,10
16,0.05,10000,71,10
16,0.05,10000,70,10
16,0.05,10000,69,10
16,0.05,10000,68,10
16,0.05,10000,67,10
16,0.05,10000,66,10
16,0.05,10000,65,10
16,0.05,10000,64,11
16,0.05,10000,63,11
16,0.05,10000,62,11
16,0.05,10000,61,11
16,0.05,10000,60,11
16,0.05,10000,59,11
16,0.05,10000,58,11
16,0.05,10000,57,11
16,0.05,10000,56,11
16,0.05,10000,55,11
16,0.05,10000,54,11
16,0.05,10000,53,11
16,0.05,10000,52,11
16,0.05,10000,51,11
16,0.05,10000,50,11
16,0.05,10000,49,11
16,0.05,10000,48,11
16,0.05,10000,47,11
16,0.05,10000,46,11
16,0.05,10000,45,11
16,0.05,10000,44,12
16,0.05,10000,43,12
16,0.05,10000,42,12
16,0.05,10000,41,12
16,0.05,10000,40,12
16,0.05,10000,39,12
16,0.05,10000,38,12
16,0.05,10000,37,12
16,0.05,10000,36,12
16,0.05,10000,35,12
16,0.05,10000,34,12
16,0.05,10000,33,12
16,0.05,10000,32,12
16,0.05,10000,31,12
16,0.05,10000,30,12
16,0.05,10000,29,12
16,0.05,10000,28,13
16,0.05,10000,27,13
16,0.05,10000,26,13
16,0.05,10000,25,13
16,0.05,10000,24,13
16,0.05,10000,23,13
16,0.05,10000,22,13
16,0.05,10000,21,13
16,0.05,10000,20,13
16,0.05,10000,19,13
16,0.05,10000,18,13
16,0.05,10000,17,13
16,0.05,10000,16,13
16,0.05,10000,15,13
16,0.05,10000,14,13
16,0.05,10000,13,14
16,0.05,10000,12,14
16,0.05,10000,11,14
16,0.05,10000,10,14
16,0.05,10000,9,14
16,0.05,10000,8,14
16,0.05,10000,7,14
16,0.05,10000,6,14
16,0.05,10000,5,14
16,0.05,10000,4,14
16,0.05,10000,3,14
16,0.05,10000,2,14
16,0.05,10000,1,15
